Phytochemicals,Molecularweight,NHD,NHA,LogP,NRB,Electrophilicity,Image
5-hydroxymethylfurfural,126.11,1,3,0.58,2,2.162014,5_hydroxymethylfurfural-Local (1).png
Apigenin,270.24,3,5,2.58,1,2.136631,Apigenin-Local (1).png
cinnamic acid,148.16,1,1,1.78,2,1.11752,cinnamic-Local (1).png
etioline,413.65,2,3,5.4,2,0.886615,etioline-Local (1).png
eugenol,164.2,1,2,2.13,3,0.863196,eugenol-Local (1).png
gallicacid,170.12,4,4,0.5,1,1.68436,gallicacid-Local.png
Guaiacol,124.14,1,2,1.4,1,0.950427,Guaiacol-Local (1).png
Kaempferol,286.24,4,6,2.28,1,2.050796,Kaempferol-Local (1).png
Quercetin,302.4,5,7,1.99,1,1.75138,Quercetin-Local (1).png
Tyrosol,138.17,2,2,0.93,2,0.999861,Tyrosol-Local (1).png
Scopoletin,192.17,1,4,1.5072,1,2.011132,Scopoletein-Local.png
Thymol,150.221,1,1,2.82402,1,0.891735,Thymol-Local.png
Camphene,136.238,0,0,2.9987,0,0.819413,Camphene-Local.png
Nicotinic acid,123.111,1,2,0.7798,1,2.154181,Nicotinicacid-Local.png
2-Bornene,136.238,0,0,2.9987,0,0.786263,Bornene-Local.png
Bornane,138.254,0,0,3.2227,0,0.923726,Bornane-Local.png
Limonene,136.238,0,0,3.3089,1,0.807615,Limonene-Local.png
Coumarin,146.145,0,2,1.793,0,2.270269,Coumarin-Local.png
Beta-cyclocitral,152.237,0,1,2.7119,1,1.758077,Betacyclocitral-Local.png
